TT,Mã,Điểm,Địa chỉ,Maps,Giờ mở cửa,Traffic,Diện tích,Ưu tiên về quảng bá,Có thông tin giới thiệu không?,Khoảng cách tới Quảng trường sông Hoài (m),Khoảng cách tới điểm bán vé gần nhất (m),Thông tin giới thiệu cơ bản,Số bước chân từ điểm tham quan gần nhất,Biểu tượng liên quan,Ghi chú
11,A11,Nhà biểu diễn nghệ thuật cổ truyền Hội An,,https://maps.app.goo.gl/CfzEnBtpT3hEZdmB66,,,,,FALSE,,,"Nhà Biểu diễn nghệ thuật cổ truyền được thành lập từ năm 1996 đến nay, các chương trình nghệ thuật đã mang lại nhiều mỹ cảm và sự thích thú cho đông đảo người xem trong nước và quốc tế. Chường trình biểu diễn nghệ thuật cổ truyền đã góp phần rất lớn trong việc bảo tồn các giá trị văn hoá của địa phương, cùng với các diễn viên có nghiệp vụ, các nhạc sĩ, biên đạo múa có khả năng sáng tạo, Đội nghệ thuật cổ truyền Hội An đã dàn dựng và biểu diễn hàng trăm tiết mục mang đậm bản sắc văn hoá vùng miền. Trong đó, nhiều chương trình, tiết mục đặc sắc như hô hát bài chòi, các tiết mục dân ca Quảng Nam, dân ca Trung Trung Bộ và đặc biệt là các làn điệu dân ca quốc tế của 12 nước có mối quan hệ bang giao với Hội An trong quá khứ, hiện có lượng khách đến tham quan Hội An đông được trình diễn bởi dàn nhạc dân tộc Việt Nam. Mặc dù không gian nhỏ nhưng nơi đây đã tạo ra một bối cảnh đặc biệt cho khán giả bởi họ có thể nhìn thấy nét mặt của diễn viên múa, từng chuyển động của cổ tay và kiểu dáng cầu kỳ trên các bộ trang phục cũng như nhạc cụ. Nhiệt huyết, giàu cảm xúc và chuyên nghiệp là những gì chúng ta có thể nói về các nghệ sĩ trong buổi biểu diễn này. Bên cạnh đó, hãy lắng nghe âm thanh lôi cuốn của “Đàn bầu” - một loại nhạc cụ dân tộc một dây của Việt Nam. Nghệ thuật cổ truyền trở thành một sản phẩm văn hóa phục vụ du lịch tại các khách sạn ở Hội An và được mời tham gia biểu diễn tại các quốc gia như: Hồng Kông, Thái Lan, Ý...",,,Đang tạm đóng
12,A12,Nhà thờ tộc Trần,21 Lê Lợi,https://maps.app.goo.gl/iQFyDMvDMkrzV9bB7 ,7:00 - 21:00 (trừ Chủ nhật và Thứ hai đóng cửa lúc 18:00),Thấp ,Trung bình (50-200m2),Trung bình,TRUE,,,,,,
13,A13,Nhà thờ tộc Nguyễn Tường,8/2 Nguyễn Thị Minh Khai,https://maps.app.goo.gl/3TZ1rWq8Y9EgPrkD7,8:00 - 21:00,Thấp ,Thấp (<50m2),Trung bình,FALSE,,,"Nằm tại số 8/2 đường Nguyễn Thị Minh Khai, Hội An, nhà thờ tộc Nguyễn Tường được khởi dựng năm 1806, vốn là tư dinh của cụ Nguyễn Tường Vân, làm quan dưới thời Gia Long triều Nguyễn, được thăng chức Binh bộ Thượng thư vào năm Minh Mạng thứ nhất (1820). Về tổng thể, nhà thờ có cấu trúc và kết cấu của một ngôi nhà rường với 3 gian 2 chái, mái lợp ngói âm dương - loại vật liệu điển hình của phố cổ Hội An. Trải qua hơn 200 năm với hai lần trùng tu, nhưng công trình vẫn giữ nguyên dáng vẻ cổ xưa, tuy khiêm nhường nhưng mang đầy tính trang nghiêm của một công trình thờ tự.
Tộc Nguyễn Tường đất Quảng Nam vốn nổi danh là một dòng họ khoa bảng. Các người con thành đạt của cụ Nguyễn Tường Vân  có cụ Phó bảng Nguyễn Tường Vĩnh (Tuần vũ Định Tường) hay như cụ Tiến sĩ Nguyễn Tường Phổ - từng làm quan đốc học Quảng Nam và Hải Dương dưới thời vua Thiệu Trị. Các thế hệ sau cũng có nhiều người đỗ đạt làm quan. Đặc biệt, hậu duệ họ Nguyễn Tường thế hệ thứ chín ở đầu thế kỷ XX nổi danh với những cái tên: Nguyễn Tường Tam (tức nhà văn Nhất Linh), Nguyễn Tường Lân (tức nhà văn Thạch Lam) và Nguyễn Tường Long (tức nhà văn Hoàng Đạo) - những nhân vật sáng lập và là chủ chốt của nhóm Tự lực Văn đoàn. 
Là di tích cung cấp nhiều giá trị đặc biệt về một phần chặng đường lịch sử của mảnh đất và con người Hội An, nhà thờ cổ tộc Nguyễn Tường hiện là điểm tham quan thu hút nhiều du khách viếng thăm.",,,
14,A14,Nhà cổ Phùng Hưng,4 Nguyễn Thị Minh Khai,https://maps.app.goo.gl/jzxkq3Jrz8G8mkEz5 ,8:00 - 18:00,Trung bình,Thấp (<50m2),Trung bình,FALSE,,,"Nhà cổ Phùng Hưng nằm về phía Tây của cầu Nhật Bản khoảng 10m, có địa chỉ số 04 - Nguyễn Thị Minh Khai. Nhà được xây dựng cách đây khoảng hơn 100 năm, là nơi sinh sống của nhiều thế hệ nối tiếp nhau thuộc một gia đình. Di tích này vừa được sử dụng làm nhà ở vừa là nơi mở hiệu buôn “Phùng Hưng” ngày xưa. Công trình sử dụng chất liệu gỗ tốt tuy nhiên không điêu khắc, chạm trỗ cầu kỳ mà được giữ thô một cách cố ý của chủ nhà. Với sự giao thoa của các lối kiến trúc Việt- Nhật - Hoa, ngôi nhà cổ này được đánh giá là ngôi nhà có kết cấu độc đáo với phần gác cao bằng gỗ và các hành lang rộng bao quanh. Nhờ sự gìn giữ và bảo quản tốt của gia đình mà ngôi nhà vẫn còn được giữ hầu như nguyên trạng. Là di tích chứa đựng nhiều thông tin về lối sống của tầng lớp thương nhân ở thương cảng Hội An xưa, nhà cổ Phùng Hưng đã được công nhận là di tích lịch sử văn hoá cấp quốc gia vào năm 1993.",,,
15,A15,Nhà cổ Quân Thắng,77 Trần Phú,https://maps.app.goo.gl/Wf1LDC93sKAxKEVk6 ,9:00 - 19:00,Cao,Thấp (<50m2),Trung bình,FALSE,,,"Nằm ở số 77 đường Trần Phú, thành phố Hội An, nhà cổ Quân Thắng là một trong những ngôi nhà cổ nhất và có kiến trúc độc đáo nhất ở phố cổ Hội An hiện còn được bảo tồn tương đối nguyên vẹn. Di tích này thuộc loại hình nhà ở dân dụng với lối kiến trúc theo dạng hình ống dài khoảng chừng 30m, rộng 5.5m, mặt quay về hướng Bắc. Đây là kiểu cách xây dựng thường thấy tại các đô thị thời trung cận đại không chỉ ở nước ta mà cả các đô thị châu Á cùng thời.
Nhà cổ Quân Thắng cũng như đại đa số các ngôi nhà tại khu phố cổ, vừa là nơi sống, nơi thờ tự tổ tiên, vừa là nơi mở hiệu buôn “Quân Thắng”. Hiện nay bức hoành phi tên hiệu vẫn còn được gia đình gìn giữ. Đặc biệt, mặc dù là công trình mang lối kiến trúc giao thoa Hoa- Việt với hệ thống vì kèo cùng với các đồ án được chạm trổ cầu kỳ nhưng ngôi nhà lại được các hiệp thợ người địa phương đến từ làng mộc danh tiếng Kim Bổng đảm nhận hoàn toàn các công việc xây dựng.
Hiện nay, nhà cổ Quân Thắng là một trong những điểm tham quan hấp dẫn tại Hội An. Diện mạo ngôi nhà giúp chúng ta hình dung được phần nào lối sống của các thế hệ chủ nhân trước đây cũng như các hoạt động thường nhật thời nay của cư dân phố Hội.",,,
16,A16,Nhà cổ Đức An,"129 đường Trần Phú, Hội An","129 đường Trần Phú, Hội An",9:00 - 19:00,Cao,Thấp (<50m2),Trung bình,TRUE,,,,,,
17,A17,Nhà cổ Tấn Ký,101 Nguyễn Thái Học,https://maps.app.goo.gl/dBpHRGJGEpNeomvv5,8:30 - 18:00,Cao,Trung bình (50-200m2),Thấp ,TRUE,,,"Trong hơn 1.000 nhà cổ hiện nay ở Đô thị cổ Hội An, nhà cổ Tấn Ký số 101 đường Nguyễn Thái Học nổi tiếng với du khách gần xa với các giá trị về lịch sử văn hoá, về kiến trúc và cả mỹ thuật điêu khắc gỗ. Nhà cổ Tấn Ký là nhà cổ đầu tiên tại Hội An được công nhận di tích quốc gia năm 1985 và được xếp vào loại hình di tích đặc biệt theo đánh giá cùa Trung tâm Quản lý Bảo tồn Di sản Văn hóa Hội An.
Chủ nhân ngôi nhà cho biết công trình được xây cách đây 200 năm, với lối kiến trúc nhà ống tiêu biểu, bên trong chia nhiều gian với các công năng kết hợp của một hiệu buôn và một ngôi nhà ở như hầu hết các công trình nhà dân dụng khác trong phố. Tấm biển hiệu buôn ""Tấn Ký"", được treo ở phía trên ngoài cửa đi vào, có từ đời ông tổ của chủ nhà là một minh chứng cho thời kỳ buôn bán phát đạt của gia đình. Ngôi nhà có hệ vì kèo đa dạng cùng các đồ án trang trí cầu kỳ, đẹp mắt, có sự kết hợp các lối kiến trúc Việt-Nhật-Hoa, do các nghệ nhân từ làng mộc Kim Bồng tạo tác.",,,
18,A18,Hội quán Quảng Triệu,176 Trần Phú,https://maps.app.goo.gl/WEXnonwLct5mGPiu9 ,8:00 - 17:00,Cao,Lớn (>200m),Thấp ,FALSE,,,"Hội quán Quảng Đông (hay còn gọi là Hội quán Quảng Triệu) nằm tại số 176 đường Trần Phú, Hội An. Công trình được Hoa kiều bang Quảng Đông tại Hội An và các vùng lân cận xây dựng vào năm 1885 làm nơi sinh hoạt cộng đồng và tín ngưỡng. Với kiến trúc được xây dựng độc đáo, hội quán là một công trình khép kín với cổng tam quan, có sân vườn rộng trang trí nhiều cây cảnh, vào giữa là phương đình, hai bên nhà Đông - Tây, chính điện và sân sau… khá giống với các công trình hội quán khác ở Hội An. Chính điện của công trình là kiến trúc có quy mô, tính mỹ thuật cao với hệ thống bờ nóc, bờ hồi cong vút, xa trông như một chiếc thuyền đang lướt sóng. Tại đây, bà con người Hoa bang Quảng Đông thờ ngài Quan Công – biểu tượng của Nhân, Lễ, Nghĩa, Trí, Tín, được người đời hết mực ca tụng. Hai bên tả hữu phối thờ Thần Tài Công và Thiên Hậu Thánh Mẫu với ước vọng việc làm ăn được thuận lợi, bình an và phát đạt, sung túc. 
Với vẻ đẹp truyền thống cổ xưa, nét kiến trúc đặc sắc, Hội quán Quảng Đông hiện thu hút lượng lớn du khách đến tham quan hàng ngày.",,,
19,A19,Hội quán Phúc Kiến,46 Trần Phú,https://maps.app.goo.gl/snQ9nNMZtPMguP3fA ,7:00 - 18:00,Trung bình,Lớn (>200m),Trung bình,FALSE,,,"Hội quán Phúc Kiến tọa lạc tại số 46 đường Trần Phú, Hội An, trên một khuôn đất cao ráo quay mặt về hướng Nam. Công trình được bà con người Hoa bang Phước Kiến tại Hội An cho xây dựng năm 1757 trên nền một ngôi chùa Việt cổ có tên “Kim Sơn Tự”, dùng cho việc thờ tự các vị thần bảo hộ, các vị tiền hiền cũng như là không gian hội họp, sinh hoạt cộng đồng. Công trình được xây dựng theo hình chữ “quốc” gồm nhiều lớp: cổng, tam quan, tiền đình, nhà Đông-Tây, chính điện, hậu điện cùng không gian sân trời thoáng đãng được bài trí nhiều cây cảnh, hồ nước. Tổng thể hội quán mang vẻ tráng lệ, uy nghiêm trong một không gian rộng lớn và linh thiêng. Các đồ án trang trí được chạm trổ sống động, tinh xảo với nhiều đề tài như hoa lá, chim muông…
Hội quán thờ Bà Thiên Hậu Thánh Mẫu và các vị thần bảo hộ về sông nước, tiền của, con cái, thể hiện sâu sắc triết lý Á Đông về hạnh phúc đời người. Hàng năm, vào các dịp tết Nguyên Tiêu (15 tháng Giêng âm lịch), vía Lục Tánh (16 tháng 2 âm lịch), vía Thiên Hậu (23 tháng 3 âm lịch) … tại hội quán Phúc Kiến diễn ra nhiều hoạt động lễ hội thu hút rất nhiều du khách trong và ngoài nước đến tham gia. Công trình được xếp hạng di tích lịch sử văn hóa quốc gia năm 1990.",,,
20,A20,Hội quán Hải Nam,10 Trần Phú,https://maps.app.goo.gl/m8KvaK47e3EcyRsLA ,9:00 - 21:00,Thấp ,Lớn (>200m),Cao,FALSE,,,,,,"Không có giới thiệu địa điểm, chỉ có 01 bảng câu chuyện về việc 108 thương lái Trung Quốc bị giết"
